graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
uk-2002,0,0.0000001,0.0000001,10568.33023,13306.52092,2522.504266,812.4472806,2856.691153,1143.342153,649.0964942,236.6674716,0.0000000313,0.00000653,0.00000000394485256,0.00000005554653223,0.000000003956688337,0.00000005416309584,0.00000000435,0.00000000868
uk-2002,0,0.000001,0.000001,9310.108015,11657.51099,3050.197746,1003.221115,3204.933393,1173.76299,1436.371807,619.8074179,0.0000000313,0.00000653,0.00000001072526292,0.00000006272056904,0.00000001077173229,0.00000006040197714,0.00000001931,0.00000003001
uk-2002,0,0.00001,0.00001,9117.593176,11238.92109,4321.510739,1643.512235,4474.606907,1794.096392,3508.354499,1426.686859,0.00000003133996173,0.00000653,0.00000001344195613,0.00000007975445593,0.00000001341050382,0.00000008309481483,0.00000001961,0.00000005521
uk-2002,0,0.0001,0.0001,8791.810336,10973.7155,5171.504901,2853.427003,5340.36223,3010.21687,6170.891607,2772.591,0.0000000315,0.000006465803428,0.00000002312034154,0.000000120221379,0.0000000231062095,0.0000001189403875,0.00000004391,0.00000011001
uk-2002,0,0.001,0.001,9001.998621,11141.4858,5917.061016,3937.857503,6157.408689,4152.256692,8070.076197,3909.130916,0.00000003303990302,0.00000621898025,0.00000005904168627,0.0000001864609013,0.00000005908335299,0.0000001674568495,0.00000005291,0.00000020901
uk-2002,0,0.01,0.01,11675.86488,13365.54046,8756.588036,5976.396569,9284.484271,6362.158018,11899.05974,6007.343239,0.00000003163989872,0.00000401800094,0.00000009229574588,0.0000001829685828,0.00000009220749748,0.0000001825688743,0.00000010401,0.00000018801
uk-2002,0,0.1,0.1,37151.56811,34470.6394,32453.10544,23148.73197,35223.90575,25725.52481,41681.6698,23381.31659,0.00000005586734128,0.0000007641258689,0.00000007305571207,0.0000002640317626,0.00000007071242433,0.0000002649353315,0.00000006251,0.00000040001
