graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
arabic-2005,0,0.0000001,0.0000001,12486.95685,20465.91331,2932.017544,992.4991717,3359.035113,1419.342011,822.1379137,356.2557939,0.000000181,0.0000004061998032,0.00000001059836573,0.00000005348347906,0.00000001060596368,0.00000005159702398,0.000000008,0.00000001251
arabic-2005,0,0.000001,0.000001,12652.60317,21166.4455,5712.086449,1645.237282,6085.290779,2065.341254,2865.953283,1169.227785,0.000000181,0.0000004067998031,0.00000001255268089,0.00000005922865801,0.00000001268779856,0.00000005632583162,0.00000000687,0.00000001931
arabic-2005,0,0.00001,0.00001,12049.72754,20040.57031,7959.992862,3298.470584,8327.773954,3641.927003,7691.069962,3127.008452,0.000000181,0.0000004061998032,0.00000001048130067,0.00000005937164945,0.00000001042842849,0.00000005970025706,0.00000003141,0.00000004241
arabic-2005,0,0.0001,0.0001,12131.00494,19856.96446,9554.791534,5613.76443,9967.11468,6010.658309,11987.23593,5553.299613,0.0000001765627799,0.000000439199818,0.00000001812910882,0.00000007132144297,0.00000001813181159,0.00000007029546561,0.00000002911,0.00000006911
arabic-2005,0,0.001,0.001,12399.73084,20766.23579,11161.93828,7725.893718,12688.36336,9213.350859,16055.0716,7653.803943,0.0000002068024733,0.0000004230401352,0.00000003523453335,0.0000001283326052,0.00000003532171689,0.0000001246619524,0.00000001851,0.00000026801
arabic-2005,0,0.01,0.01,16545.39805,25028.11689,16664.06299,11771.69527,27714.66337,22713.80966,25234.82231,11892.59739,0.0000001599023385,0.0000006199897222,0.00000004235332213,0.0000003579716204,0.00000004214588175,0.0000003603794226,0.00000009901,0.00000057701
arabic-2005,0,0.1,0.1,76493.66154,74230.60556,72933.63735,48064.64332,173449.1844,149201.8085,91864.20483,48907.67204,0.0000000145974782,0.0000007111689731,0.00000000737226395,0.0000003033771991,0.000000007375346001,0.0000003017092882,0.00000000534,0.00000029101
