graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
sk-2005,0,0.0000001,0.0000001,45451.97478,106430.6403,12003.36555,3568.726193,13470.762,4751.831116,6249.303333,2417.178462,0.0000000326,0.000000115,0.000000007092582106,0.00000003088152628,0.000000007062575235,0.00000002995737783,0.00000001001,0.00000000583
sk-2005,0,0.000001,0.000001,45431.44655,106370.4811,22041.87176,7106.506602,22990.88192,7911.815258,18844.58073,6589.625607,0.0000000326,0.000000115,0.000000004538670984,0.00000004248249918,0.000000004533794649,0.00000004461443487,0.00000001471,0.00000006551
sk-2005,0,0.00001,0.00001,46320.48963,107126.9899,27200.98614,14127.81321,28252.17128,15046.8747,31916.36095,13803.62608,0.0000000326,0.000000115,0.00000001006587064,0.00000005352232817,0.000000009759559244,0.00000005134187723,0.00000001911,0.00000003791
sk-2005,0,0.0001,0.0001,46367.47605,109719.6209,33446.26439,24754.11953,35061.76751,26267.98632,49685.50836,24468.7343,0.00000003295996358,0.0000001127106463,0.00000001257069407,0.00000007103949022,0.00000001223818453,0.00000007244780845,0.00000000476,0.00000004661
sk-2005,0,0.001,0.001,49053.6016,118651.7434,41915.11289,41074.86357,50327.03759,49572.39397,73840.20936,41057.98107,0.00000003633941571,0.0000001081444777,0.00000002067099956,0.0000000791518536,0.00000002355496735,0.00000007779243638,0.00000002021,0.00000007101
sk-2005,0,0.01,0.01,62870.02023,151836.9789,63100.06372,70273.04063,141088.0499,148300.3717,127212.2666,71605.27034,0.00000004742902973,0.0000001008547881,0.000000019205623,0.0000001032000417,0.00000001983412488,0.00000008770132714,0.00000002251,0.00000008511
sk-2005,0,0.1,0.1,186957.1418,280067.0367,176803.4505,158589.7628,927986.1105,930259.1018,266234.5738,162699.7324,0.00000001160080002,0.0000002108698764,0.000000007401095575,0.0000001064698822,0.000000007388191505,0.0000001083546032,0.00000000703,0.00000012101
