graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
com-LiveJournal,0,0.0000001,0.0000001,5574.567005,12924.83902,816.5305284,1158.09076,1115.009426,1392.194815,1070.143271,1054.070669,0.00000156,0.00000264,0.00000001105795524,0.0000002129762404,0.00000001120709273,0.000000212754845,0.00000000977,0.00000020801
com-LiveJournal,0,0.000001,0.000001,6735.977608,13737.73618,1613.265376,1843.881923,1709.803706,1937.916362,2439.203029,1818.297664,0.00000156,0.00000264,0.00000002576910256,0.0000002606915861,0.00000002501007194,0.0000002595096274,0.00000001211,0.00000025601
com-LiveJournal,0,0.00001,0.00001,6256.762564,12883.12562,1875.51984,2309.107087,2129.727551,2400.381728,3177.148714,2336.472374,0.00000156,0.00000264,0.00000005520702388,0.0000003443368466,0.00000005467542379,0.0000003426182236,0.00000012201,0.00000037801
com-LiveJournal,0,0.0001,0.0001,5564.708925,12119.85775,2288.031215,2525.049512,2518.959476,2725.595231,3955.527793,2559.119336,0.00000156,0.00000264,0.00000008690040155,0.0000007708324555,0.00000008576794918,0.0000006827200675,0.00000009811,0.00000071201
com-LiveJournal,0,0.001,0.001,6425.071946,14192.19337,3231.094178,4388.463964,3476.005637,4524.522798,5394.127426,4359.796395,0.00000159,0.00000263,0.0000001986006302,0.0000007459527134,0.000000200756873,0.0000007880843621,0.00000016701,0.00000073801
com-LiveJournal,0,0.01,0.01,7694.475786,15959.47773,4355.867786,6715.085406,5821.479394,7980.466221,7167.561461,6644.887342,0.000001525992129,0.00000255,0.0000003836653753,0.0000007527633095,0.0000003340822606,0.0000007974491401,0.00000036501,0.00000060701
com-LiveJournal,0,0.1,0.1,10066.05634,19606.72399,6689.454755,9960.599195,14726.11022,17781.5051,10661.58056,10077.84934,0.00000162,0.00000295,0.000001201017916,0.00000129404847,0.000001144411484,0.000001376630377,0.00000146001,0.00000094801
