graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
uk-2005,0,0.0000001,0.0000001,28257.3441,41001.01841,7558.450502,2374.718821,8039.563471,2919.972371,3613.398373,1927.505422,0.000000121,0.00000722,0.000000007765904921,0.00000003014026898,0.000000007776394566,0.00000002996810684,0.00000001881,0.00000002341
uk-2005,0,0.000001,0.000001,27745.30242,41170.18293,10051.63616,3307.459243,10563.56308,3861.853331,6160.709866,2940.448671,0.000000121,0.00000722,0.00000001987321702,0.00000005462152515,0.00000001990018213,0.00000005445141702,0.00000002881,0.00000003411
uk-2005,0,0.00001,0.00001,27550.30329,41199.39015,14004.40854,5879.192,14725.0144,6250.745571,12305.95875,5534.423865,0.000000121,0.000007207959911,0.0000000271433501,0.00000007631158832,0.0000000271433501,0.00000007603084706,0.00000001671,0.00000004851
uk-2005,0,0.0001,0.0001,28218.6759,41863.27149,18619.5268,11166.95089,18921.08644,11793.14029,21493.75082,10856.60013,0.0000001264615311,0.000007201965532,0.00000004272565056,0.00000007424958147,0.00000004272565056,0.00000007401726384,0.00000006011,0.00000005001
uk-2005,0,0.001,0.001,27877.63132,42218.97118,22450.67493,16161.09103,22974.69618,16841.87625,29687.76331,16216.62241,0.00000013,0.000006890788001,0.00000004906833691,0.00000009196459803,0.00000004906833691,0.00000009208206561,0.00000004071,0.00000008671
uk-2005,0,0.01,0.01,33783.13173,46508.76681,30689.97389,22756.31299,32909.46957,24641.81706,41985.67352,22911.45129,0.0000001132340028,0.000004507352801,0.00000005972251622,0.0000000976658917,0.00000005971015899,0.00000009260237439,0.00000004301,0.00000007921
uk-2005,0,0.1,0.1,100108.3438,115371.6774,88861.80469,69914.41413,105582.1779,84577.59946,117672.1561,70697.91824,0.00000002951302137,0.0000006165967748,0.00000002865335502,0.0000002600832297,0.00000002865335502,0.00000026037332,0.00000004601,0.00000031501
