graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
it-2004,0,0.0000001,0.0000001,26591.69423,37922.70008,6924.431316,1952.552124,7650.743344,2703.245812,2442.201116,1031.856877,0.0000000689,0.0000003573996644,0.000000007838423758,0.0000000273392609,0.000000008273526585,0.00000002832152504,0.00000001231,0.00000001161
it-2004,0,0.000001,0.000001,25267.90111,36477.09043,9819.206914,2921.778301,10745.25507,3586.533369,6047.036827,2372.667575,0.0000000689,0.0000003573996644,0.00000001666991104,0.00000005160805345,0.00000001646794115,0.00000005932046746,0.00000003311,0.00000003311
it-2004,0,0.00001,0.00001,25290.01292,36524.74746,14816.53307,6320.365782,15590.92343,7143.598595,14479.6214,6190.844616,0.00000006901998842,0.0000003573996644,0.00000001233746323,0.00000005271875026,0.00000001234832032,0.00000005002446984,0.00000005301,0.00000007161
it-2004,0,0.0001,0.0001,25899.95725,37962.39011,19289.5746,10518.01828,20295.71078,11264.78556,23686.32062,10409.76038,0.00000007229874826,0.000000356399101,0.00000001529714489,0.00000009845281939,0.00000001550077493,0.0000001043465641,0.00000005431,0.00000007901
it-2004,0,0.001,0.001,26065.2729,38963.02676,20942.18171,14471.88069,23100.2564,16329.40503,29578.08447,14537.26915,0.00000007934378679,0.0000003485985075,0.00000005346869321,0.0000001922059909,0.00000005178780361,0.0000002180841134,0.00000010301,0.00000016401
it-2004,0,0.01,0.01,31821.70118,44333.11062,30520.6242,20909.60032,45193.38014,35845.89919,43902.81559,21056.81069,0.0000001343776411,0.0000004710775917,0.00000007545010276,0.0000004411980793,0.0000000753770188,0.0000003904557596,0.00000008081,0.00000034001
it-2004,0,0.1,0.1,96287.16471,108472.214,89068.71477,68443.78632,251252.932,233044.822,124223.8547,69399.82237,0.00000001998185072,0.0000009833380351,0.00000001417331372,0.0000005029933418,0.00000001414062546,0.0000004990595847,0.00000000518,0.00000022101
