graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
kmer_V1r,0,0.0000001,0.0000001,10760.38809,26390.31358,3684.971721,1188.845946,8010.2905,5136.344608,187.1520451,168.6987988,0.00139,0.000346,0.00000001699228505,0.00000001603681352,0.00000001699228505,0.00000001601659049,0.00000001441,0.00000001451
kmer_V1r,0,0.000001,0.000001,10549.84714,26579.20613,4093.011495,1196.357554,8130.525212,4902.408351,201.49199,181.0321478,0.00139,0.000346,0.0000001527928784,0.0000001421868676,0.0000001527928784,0.0000001421868676,0.00000015001,0.00000015201
kmer_V1r,0,0.00001,0.00001,10624.1268,26736.87301,4112.380914,1249.392172,8109.151156,4971.073321,228.9902774,231.7280658,0.00139,0.000346,0.000001531994792,0.0000009191914401,0.000001531994792,0.0000009193898839,0.00000153001,0.00000091701
kmer_V1r,0,0.0001,0.0001,10749.67858,27664.03133,4121.355032,1482.531729,8357.900943,5279.998797,465.0699881,471.9982873,0.00139,0.000346,0.00001527994751,0.000009175994332,0.00001527994751,0.000009175994332,0.00001530001,0.00000918001
kmer_V1r,0,0.001,0.001,10874.69902,28152.34787,4197.157929,2635.746554,8417.398558,6468.018825,1672.530265,1687.728863,0.00141,0.000347,0.00015,0.00008903998652,0.00015,0.00008903998652,0.00015000001,0.00008910001
kmer_V1r,0,0.01,0.01,11489.46945,30823.39879,5585.432093,6056.238258,10658.70273,10449.03522,6902.821413,6123.981185,0.00157,0.0003647152562,0.000909,0.0006582213024,0.000909,0.0006582213024,0.00090900001,0.00042800001
kmer_V1r,0,0.1,0.1,15811.34201,42120.39239,8030.643284,13145.60411,17492.29479,21956.26052,13828.44794,13775.40921,0.00244,0.0005681892651,0.004023997019,0.00172,0.004023997019,0.00172,0.00403000001,0.00172000001
