graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
kmer_V1r,0.00000002,0.00000008,0.0000001,7155.272629,17211.5835,2405.477718,816.1820149,8111.804651,6273.549649,144.5904203,145.9919441,0.00139,0.000346,0.00000001651335165,0.00000001092818213,0.00000001651335165,0.00000001092818213,0.00000001461,0.00000000945
kmer_V1r,0.0000002,0.0000008,0.000001,7526.750169,18560.56647,3221.721326,897.0799205,5814.804957,3130.52653,160.6507014,155.0720757,0.00139,0.000346,0.0000001291365862,0.00000008978629105,0.0000001291365862,0.00000008980677025,0.00000014801,0.00000008931
kmer_V1r,0.000002,0.000008,0.00001,7352.674789,17924.63031,2655.737262,832.2975692,5259.982387,3475.15038,171.8865736,173.2731288,0.00139,0.000346,0.000001491967949,0.0000009057730704,0.000001491967949,0.0000009057775094,0.00000151001,0.00000091301
kmer_V1r,0.00002,0.00008,0.0001,7308.839058,17436.85513,4206.616256,1052.565011,5841.219646,3105.811985,493.8054274,408.7398335,0.00139,0.000346,0.00000953210401,0.000006641296652,0.00000953210401,0.000006641296652,0.00001480001,0.00000541001
kmer_V1r,0.0002,0.0008,0.001,6596.789173,16025.87999,5210.177703,1911.144075,7276.020191,4275.918082,2501.054731,1391.011284,0.00141,0.000347,0.00005056051839,0.00005243997712,0.00005056051839,0.00005243997712,0.00005680001,0.00005250001
kmer_V1r,0.002,0.008,0.01,6925.159627,17370.71007,7030.97054,3539.902669,7360.801729,5912.552439,5809.806367,3244.18137,0.00156,0.000354,0.0003729481618,0.00043,0.0003729481618,0.00043,0.00035100001,0.00043000001
kmer_V1r,0.02,0.08,0.1,8490.302627,22576.46919,7015.428841,7263.125879,10978.77314,11864.49366,10629.92158,6848.869484,0.00242,0.0004244886589,0.00155,0.0011,0.00155,0.0011,0.00155000001,0.00110000001
