graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
sk-2005,0.00000002,0.00000008,0.0000001,47832.89274,95996.31861,10727.80216,3386.064361,12312.91641,4815.87177,5393.216833,2196.816787,0.0000000326,0.000000115,0.00000000792552084,0.00000003167348015,0.000000007915411813,0.00000003153726102,0.0000000089,0.00000001611
sk-2005,0.0000002,0.0000008,0.000001,43981.04703,95418.26422,20067.48609,6547.433919,21416.54168,7629.894397,16826.72346,6231.436959,0.0000000326,0.000000115,0.000000004801975358,0.00000003369782451,0.000000004793046486,0.00000003518618343,0.00000001021,0.00000001741
sk-2005,0.000002,0.000008,0.00001,36653.1588,91746.93922,16937.75146,9786.790516,18062.45288,10614.51599,20478.96086,9635.414948,0.0000000326,0.0000001222315142,0.00000001167942502,0.00000003999746563,0.00000001165866031,0.00000004382846395,0.00000000495,0.00000001921
sk-2005,0.00002,0.00008,0.0001,29392.05186,93159.12847,21915.17855,17997.35169,23637.33037,19080.50906,34561.09332,18090.20837,0.00000003185226828,0.000000239387897,0.00000001076421359,0.00000004724034139,0.00000001061012129,0.00000004709981697,0.00000000466,0.00000004301
sk-2005,0.0002,0.0008,0.001,29743.46768,99908.96164,24901.20113,30594.89323,33871.33144,38265.78698,52310.58165,30758.65497,0.00000003581733024,0.000001124099515,0.000000021772961,0.00000007332520144,0.00000002172302866,0.00000006748979865,0.00000002481,0.00000006391
sk-2005,0.002,0.008,0.01,40678.50048,121270.7196,36770.40299,52452.59465,109570.0573,127762.2603,88487.09504,52447.00263,0.00000005356793291,0.000005217650828,0.00000001745180946,0.00000008988709296,0.00000001749824953,0.00000009057997705,0.00000000942,0.00000010301
sk-2005,0.02,0.08,0.1,75022.36206,155840.7664,73568.96076,97822.42456,881536.4577,896802.2848,146557.5307,100083.2706,0.00000001242373563,0.0000002939067695,0.000000007354823892,0.0000001121326638,0.000000007307761357,0.0000001093202858,0.00000001331,0.00000011201
