graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
com-LiveJournal,0.00000002,0.00000008,0.0000001,2628.727621,5987.638976,358.2326815,611.6999938,736.3807955,911.9587372,504.9612277,510.4246213,0.00000156,0.00000264,0.00000001098735119,0.0000002224105428,0.00000001086786448,0.0000002236026238,0.00000000664,0.00000021201
com-LiveJournal,0.0000002,0.0000008,0.000001,2816.400876,6897.173575,1114.209566,901.5220902,1424.51884,970.1691524,1977.670427,864.8889071,0.00000156,0.00000264,0.000000002585093453,0.0000002499037026,0.000000002581654991,0.0000002530298513,0.000000000699,0.00000023901
com-LiveJournal,0.000002,0.000008,0.00001,2788.587831,7106.502431,1950.659903,1304.315741,2054.487564,1357.710809,3221.148013,1300.703786,0.00000156,0.00000264,0.000000004214823573,0.0000002751420555,0.000000004216971802,0.0000002733674317,0.00000000451,0.00000028801
com-LiveJournal,0.00002,0.00008,0.0001,2651.016657,6808.340975,1691.083787,1418.663917,1970.413956,1405.755137,3499.360754,1412.110385,0.00000156,0.00000264,0.00000003751878373,0.0000004568775711,0.00000003751878373,0.0000004557143088,0.00000003601,0.00000044801
com-LiveJournal,0.0002,0.0008,0.001,2994.627251,7353.540066,2011.86372,2095.466166,2228.591338,2246.320445,3970.561884,2076.299615,0.000001587994949,0.00000264,0.0000003579072117,0.0000006044863174,0.0000003579072117,0.0000006142233781,0.00000037301,0.00000067401
com-LiveJournal,0.002,0.008,0.01,2982.92139,7486.138303,2137.144927,2979.834478,3248.448364,4080.459069,4140.792946,2958.86818,0.00000149,0.00000257,0.000003163717744,0.0000005865460062,0.000003163717744,0.0000005680616056,0.00000310001,0.00000051801
com-LiveJournal,0.02,0.08,0.1,3357.951116,7777.962059,2494.661848,3896.914126,10332.4788,11106.30896,4757.04985,3872.263538,0.00000156,0.000002741997087,0.00000837179458,0.000001173528375,0.000008375829562,0.000001173944536,0.00000839001,0.00000129001
