graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
uk-2002,0.00000002,0.00000008,0.0000001,5751.722272,7181.302462,1545.129063,431.4498884,2386.379888,1299.535045,225.5874968,93.45233617,0.0000000313,0.00000653,0.000000003228602068,0.00000005418579774,0.000000003238737918,0.00000005280610725,0.00000000266,0.0000000089
uk-2002,0.0000002,0.0000008,0.000001,6247.77094,7548.917582,2361.35845,637.7948266,3308.613311,1098.178919,1010.398476,378.9578147,0.0000000313,0.000006551853242,0.000000005512293248,0.00000006008565956,0.000000005523120926,0.00000005868014958,0.00000000291,0.00000001471
uk-2002,0.000002,0.000008,0.00001,6223.530194,7695.286708,3779.715458,1309.269581,3683.031008,1373.99839,2863.743152,1083.585316,0.0000000313,0.00000653,0.00000001105959362,0.00000007873084057,0.0000000110628826,0.00000007942717727,0.00000002731,0.00000006951
uk-2002,0.00002,0.00008,0.0001,7298.348989,8943.74383,4161.431901,2055.460506,4844.864635,2153.870307,5845.767495,2539.597951,0.00000003147997455,0.000006597874248,0.00000001928463495,0.0000001523154656,0.00000001929362756,0.0000001447763118,0.00000002431,0.00000012701
uk-2002,0.0002,0.0008,0.001,6245.073829,7382.796711,3764.877049,2964.089253,4872.174756,3842.285403,6331.465937,2909.873588,0.00000003267997549,0.000007361132065,0.00000005914801953,0.0000001847655971,0.00000006106624549,0.0000001832943976,0.00000011501,0.00000019301
uk-2002,0.002,0.008,0.01,6826.873172,8926.199006,5144.112059,3874.704987,14801.13448,13218.06126,8304.262587,6529.242498,0.00000004751873338,0.0000112979473,0.00000009902773881,0.0000001611190857,0.00000009902773881,0.0000001592662796,0.00000005161,0.00000016301
uk-2002,0.02,0.08,0.1,16748.92077,17696.38297,14110.84366,11208.35929,25568.96714,13581.17855,21381.83888,21029.02438,0.00000003738774537,0.000005794841426,0.0000000722692369,0.000000221105594,0.00000007224631611,0.0000002214102474,0.00000010301,0.00000014501
