graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
kmer_A2a,0.00000002,0.00000008,0.0000001,15277.82595,23789.00335,2898.920881,697.731165,8461.252085,6559.240877,114.7653207,115.8914149,0.000285,0.0000893,0.00000001362804539,0.00000001019176342,0.00000001361030048,0.00000001018959404,0.00000001441,0.00000000886
kmer_A2a,0.0000002,0.0000008,0.000001,15165.28476,24534.7101,3468.065411,717.9416216,4236.071401,2379.482764,122.1421628,121.0564011,0.000285,0.0000893,0.0000001429901897,0.00000008800450664,0.0000001429901897,0.00000008782423469,0.00000014101,0.00000008511
kmer_A2a,0.000002,0.000008,0.00001,14726.48002,25362.33785,4632.160657,822.2103696,5012.690014,2434.029686,182.1100445,157.7493049,0.000285,0.0000893,0.0000008992295524,0.0000005708675446,0.0000008992295524,0.0000005710903657,0.00000102001,0.00000051901
kmer_A2a,0.00002,0.00008,0.0001,15445.71194,29255.70563,6784.066557,1157.649152,6619.747452,2680.340433,761.9651725,411.4278799,0.000285,0.0000893,0.000004205660243,0.000005159996124,0.000004205660243,0.000005159996124,0.00000418001,0.00000516001
kmer_A2a,0.0002,0.0008,0.001,15575.47697,28889.78067,8451.512698,2220.416975,7484.681197,3339.967484,3035.096991,1066.772938,0.00029,0.00009434915297,0.00002769505504,0.00005023997612,0.00002769505504,0.00005023997612,0.00003090001,0.00005030001
kmer_A2a,0.002,0.008,0.01,15464.17799,30657.40454,9021.86763,6134.80506,8080.480087,6441.876066,9214.652419,3142.630478,0.0003297997571,0.00009719568151,0.000197,0.000255,0.000197,0.0001887018555,0.00019700001,0.00025500001
kmer_A2a,0.02,0.08,0.1,14136.57709,30358.17161,7953.290183,9903.060792,12749.42618,11160.82756,14852.83677,7379.125315,0.000538,0.000185,0.0007722778487,0.000830942513,0.0007722778487,0.0009233129705,0.00086900001,0.00067300001
