graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
arabic-2005,0.00000002,0.00000008,0.0000001,7822.967781,13615.85787,2265.406963,688.5869673,3659.324423,1935.203031,678.4838517,298.9601005,0.000000181,0.0000004065997048,0.000000004826148147,0.00000004408859459,0.000000004882983133,0.00000004357635594,0.0000000033,0.0000000033
arabic-2005,0.0000002,0.0000008,0.000001,8196.285802,14140.33115,3334.603838,979.6736483,3637.834945,1245.178904,1791.818063,704.9555401,0.000000181,0.0000004065997048,0.000000007266883635,0.00000005373347693,0.000000007252684762,0.00000005352528868,0.00000002321,0.00000002811
arabic-2005,0.000002,0.000008,0.00001,9739.490273,15034.81439,5537.178904,2335.299776,5918.147413,2465.988808,5219.187343,2083.07302,0.000000181,0.0000004061998032,0.00000001241676288,0.00000005490662411,0.00000001237878256,0.00000005373201309,0.00000002501,0.00000003301
arabic-2005,0.00002,0.00008,0.0001,9854.14629,15093.93785,7286.147918,3731.757179,8409.572596,3829.622775,9546.419567,3666.162997,0.000000182,0.0000004540140441,0.000000009276529162,0.0000001002778019,0.000000009257542214,0.0000001048438687,0.00000002121,0.00000009851
arabic-2005,0.0002,0.0008,0.001,9370.981833,14802.99381,8497.736183,5253.781361,9405.792283,6458.319769,11694.29324,5100.620892,0.0000001949989743,0.000001009697128,0.00000002183283031,0.00000009848704244,0.0000000218250689,0.0000000959297686,0.00000003361,0.00000008641
arabic-2005,0.002,0.008,0.01,10633.36468,16927.74688,9137.93848,7534.16183,20749.00405,18083.56225,15586.81725,7501.071859,0.0000001420774291,0.000003288273101,0.00000006347061532,0.0000002393907791,0.00000006349358112,0.0000002681016344,0.00000004531,0.00000045401
arabic-2005,0.02,0.08,0.1,28530.82327,31258.89307,23810.54699,21572.20826,140910.85,134993.9408,37612.66757,21382.559,0.00000004301289876,0.000001303965994,0.00000002670249608,0.0000003056924215,0.00000002588172973,0.0000003059589736,0.00000002691,0.00000032201
