graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
uk-2005,0.00000002,0.00000008,0.0000001,26679.24505,34575.47392,6637.435398,1954.999883,8334.595519,3141.495698,3565.758425,1628.516935,0.000000121,0.00000722,0.000000006270161373,0.00000003310675276,0.000000006266553447,0.00000003289854527,0.00000000457,0.00000001771
uk-2005,0.0000002,0.0000008,0.000001,29297.89881,38105.84973,11817.88585,3976.78398,12224.90643,4161.297312,7637.791775,3464.537047,0.000000121,0.00000722,0.00000001056470671,0.00000004410822965,0.00000001056470671,0.00000004381432086,0.00000001061,0.00000003831
uk-2005,0.000002,0.000008,0.00001,26887.93326,35643.61368,15788.17067,5246.037357,16484.99957,5583.954781,13319.7885,4951.624992,0.000000121,0.000007217998891,0.000000008048572542,0.00000007217234885,0.000000008045148345,0.00000007196380148,0.00000001151,0.00000004711
uk-2005,0.00002,0.00008,0.0001,25954.78092,33794.26538,17108.70509,8430.624621,17882.95374,8628.713866,18631.82003,8355.233682,0.0000001211993421,0.00000722182441,0.00000002590665823,0.0000000817680944,0.00000002589883853,0.00000008162778272,0.00000004321,0.00000007921
uk-2005,0.0002,0.0008,0.001,27674.90921,36702.19532,20721.02161,13355.55591,21996.40096,13572.11545,25556.27116,13267.34293,0.0000001378502279,0.000007595312359,0.00000006123842544,0.00000009500311683,0.00000006123490686,0.00000009497833125,0.00000006351,0.00000009831
uk-2005,0.002,0.008,0.01,30709.71297,40845.45915,26967.13442,18794.11106,29758.01979,20826.41451,35974.1349,18919.04023,0.0000001233364204,0.000009334701226,0.0000000574246401,0.00000009184931073,0.00000005745398332,0.00000009729042968,0.00000003921,0.00000008551
uk-2005,0.02,0.08,0.1,51457.2728,64212.74209,43004.47886,40280.74163,64493.03378,56611.00513,66343.37198,34357.90429,0.0000000505915248,0.000001506949703,0.00000006048856119,0.000000232184182,0.00000006048856119,0.0000002333675307,0.00000010801,0.00000027201
