graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
asia_osm,0.00000002,0.00000008,0.0000001,627.0179532,1715.725829,230.209732,203.2846603,1101.604381,998.4103879,8.877437215,8.378223757,0.000195,0.0000119,0.000000002063451868,0.0000000687198133,0.000000002063451868,0.0000000687198133,0.00000000254,0.00000000106
asia_osm,0.0000002,0.0000008,0.000001,643.5604113,1672.030169,349.7652564,211.3937848,718.6767037,578.4176997,10.85861946,10.10282883,0.000195,0.0000119,0.0000000151939524,0.0000000782543569,0.00000001521079718,0.00000007801230707,0.00000001521,0.00000001031
asia_osm,0.000002,0.000008,0.00001,600.4333882,1577.92265,533.0079445,198.2454624,587.708619,238.5821574,16.5562314,25.45125754,0.000195,0.0000119,0.00000001918922191,0.0000001465674898,0.00000001920822327,0.000000146513557,0.00000011301,0.00000009661
asia_osm,0.00002,0.00008,0.0001,631.0880928,1623.690911,741.1432406,218.4871292,785.6627991,244.8447962,72.04499044,126.6998095,0.000195,0.0000119,0.00000005393664059,0.000000655568033,0.00000005395752298,0.0000006555737632,0.00000007351,0.00000039901
asia_osm,0.0002,0.0008,0.001,581.7485444,1506.304919,764.5489918,292.8086838,802.1487266,307.0690753,372.658383,262.8284707,0.0002,0.00001259746856,0.0000004353919031,0.000003993714971,0.0000004353919031,0.00000399377741,0.00000043901,0.00000363001
asia_osm,0.002,0.008,0.01,644.4181798,1765.278594,789.4492206,545.7600514,850.2196834,566.4851497,1164.704903,525.0442651,0.000241,0.00001403321808,0.000003663974844,0.00002066222523,0.000003659983577,0.0000206419409,0.00000366001,0.00001880001
asia_osm,0.02,0.08,0.1,753.9317493,2066.869177,1008.002791,809.0538579,1167.342139,880.0528802,1670.443808,771.6420016,0.0003770986952,0.0000230773303,0.00001619471579,0.00004646495998,0.00001619471579,0.00004239454898,0.00001480001,0.00003530001
