graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
indochina-2004,0.0000001,0,0.0000001,3574.34386,6136.593582,763.3593234,490.5739058,1203.813435,907.9054519,47.63564557,124.7904974,0.0000000676,0.000000125,0.000000001344137797,0.0000001244529086,0.000000001342586711,0.0000001244739877,0.00000000129,0.00000009121
indochina-2004,0.000001,0,0.000001,3666.234576,6175.584312,1615.825712,700.8410211,1794.022993,872.4222533,457.3868426,605.1553307,0.0000000676,0.000000125,0.000000003320843307,0.0000001369723211,0.000000003314394267,0.000000133964457,0.00000000265,0.00000013001
indochina-2004,0.00001,0,0.00001,3612.380937,6162.099128,2107.101284,803.3650148,2252.157781,983.3191462,1595.121333,784.2095524,0.0000000676,0.000000125,0.000000007172632661,0.0000001373889413,0.000000007174991776,0.0000001349881474,0.00000000453,0.00000013301
indochina-2004,0.0001,0,0.0001,3638.392505,6168.663657,2900.072861,1037.469903,3798.229554,1895.204329,3104.990403,1017.908562,0.00000006755998223,0.0000001415256031,0.000000004903061106,0.000000138792154,0.000000004900300923,0.0000001387820514,0.00000000262,0.00000013701
indochina-2004,0.001,0,0.001,3716.171418,6423.189335,3274.734262,1462.396426,12140.21707,10345.90867,4033.074238,1415.706374,0.00000006759925771,0.0000002288929734,0.00000001865245069,0.0000001406677107,0.00000001865832178,0.0000001397517185,0.00000001581,0.00000015001
indochina-2004,0.01,0,0.01,3655.172842,6689.532411,3832.678707,2449.154566,89716.74865,88368.88575,5561.615628,2446.211749,0.0000000887395919,0.000001047922929,0.00000002373141423,0.000000143973891,0.00000002295971353,0.000000144375793,0.00000001911,0.00000014101
indochina-2004,0.1,0,0.1,3791.807139,7464.527803,4648.197104,3409.192909,784913.57,776187.3367,7422.42842,3610.993559,0.0000001244582008,0.000008239413892,0.00000005769114136,0.0000001625151378,0.00000005767457772,0.0000001629189791,0.00000005081,0.00000016101
