graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
uk-2005,0.0000001,0,0.0000001,27213.39878,32081.02401,8475.658555,1633.709156,9004.638816,2077.665789,3210.318823,1022.473921,0.000000121,0.00000722,0.000000001580227813,0.00000002153585508,0.000000001580227813,0.00000002129366903,0.00000000288,0.00000001231
uk-2005,0.000001,0,0.000001,26525.02903,32105.66326,10632.13889,1854.750518,12200.62271,2425.390327,5240.951848,1458.533105,0.000000121,0.000007229972414,0.000000004437709716,0.00000003023854968,0.000000004437709716,0.0000000299589246,0.00000000648,0.00000000785
uk-2005,0.00001,0,0.00001,25199.72661,31683.07818,13274.99619,2989.345799,14848.59907,3473.36498,9554.420039,2767.399586,0.000000121,0.000007253943173,0.000000008227490939,0.00000004177846018,0.000000008224287086,0.00000004149136393,0.00000000722,0.00000004111
uk-2005,0.0001,0,0.0001,24094.29475,30747.35608,16192.70167,5009.174087,18042.42548,5798.878646,15974.97144,4946.425844,0.000000121,0.000007704344828,0.00000001667447632,0.00000008032356732,0.00000001667447632,0.00000007186207196,0.00000002531,0.00000008291
uk-2005,0.001,0,0.001,23753.11907,30043.98311,18039.31238,7388.256837,19073.01226,8315.874906,20449.28375,7402.152407,0.000000121,0.00001090746036,0.000000035792261,0.0000001042294036,0.00000003578240901,0.0000001042918302,0.00000006561,0.00000006711
uk-2005,0.01,0,0.01,19542.33299,28036.81446,16425.49518,9450.534605,18453.2724,11351.11378,20734.83184,9432.66527,0.0000001482067733,0.00004254431169,0.00000009982473619,0.00000006222473758,0.00000009982473619,0.00000006215780914,0.00000017501,0.00000005271
uk-2005,0.1,0,0.1,18108.83273,27231.94556,18927.8134,11890.73542,33343.61664,27016.7689,25813.30769,12032.98329,0.0000001685969123,0.000222170959,0.0000001168186864,0.00000004201659026,0.0000001168186864,0.00000004009650237,0.00000023801,0.00000003221
