graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
kmer_V1r,0.0000001,0,0.0000001,6728.252755,19744.76317,2828.433811,790.6783359,5025.263097,3144.73204,158.5491814,156.5925113,0.00139,0.000346,0.00000001423940701,0.000000009671042402,0.00000001423940701,0.000000009671042402,0.00000001451,0.00000000856
kmer_V1r,0.000001,0,0.000001,6391.023482,19075.24202,3227.637882,812.0723262,5071.209814,3164.146723,155.738713,158.6315536,0.00139,0.000346,0.0000001321184912,0.00000008467662544,0.0000001321184912,0.00000008465650267,0.00000014001,0.00000008711
kmer_V1r,0.00001,0,0.00001,6753.416886,19014.15416,2728.575957,781.911742,5540.215091,3150.482701,170.8838691,163.5552553,0.00139,0.000346,0.000001253725748,0.0000006883184401,0.000001253725748,0.0000007593642916,0.00000099801,0.00000085401
kmer_V1r,0.0001,0,0.0001,6721.989012,18509.23411,5086.776001,1015.255119,7368.429203,3296.770652,661.524869,355.7786758,0.00139,0.000347,0.000005450713208,0.000005095934947,0.000005450713208,0.000005095934947,0.00000575001,0.00000509001
kmer_V1r,0.001,0,0.001,6744.186375,18151.20367,4821.228255,1804.822828,7326.964823,4110.951256,2587.700533,1129.473345,0.0014,0.00035,0.00005107992754,0.00005011994411,0.00005107992754,0.00005011994411,0.00005670001,0.00005000001
kmer_V1r,0.01,0,0.01,8737.620529,21727.58561,5912.473942,4170.497927,7447.510161,6055.230857,7696.26046,3227.110202,0.0015,0.0003404491667,0.0003779955372,0.0003668897011,0.0003779955372,0.0003318944832,0.00039900001,0.00044900001
kmer_V1r,0.1,0,0.1,7569.028133,19101.98944,5925.840335,6176.745907,9750.889471,9533.935263,10097.2874,6134.818111,0.00189,0.0004205557396,0.001395672454,0.00091,0.001395672454,0.00091,0.00120000001,0.00091000001
