graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
sk-2005,0.0000001,0,0.0000001,38464.05268,94116.03732,10089.49482,2208.196114,10884.98254,3057.884664,3924.077477,1097.32304,0.0000000326,0.000000115,0.000000003432141365,0.00000001876741228,0.000000003445365066,0.00000001900345084,0.00000000504,0.0000000019
sk-2005,0.000001,0,0.000001,38252.35214,92907.37978,13077.4101,2799.453287,13679.28462,3712.92047,8542.089727,2307.293619,0.0000000326,0.0000001206226439,0.00000000914665032,0.00000002890464832,0.000000009151711841,0.00000002950613911,0.00000001391,0.00000002251
sk-2005,0.00001,0,0.00001,36889.54388,94649.56953,20298.48334,5623.852372,20729.42628,5918.485865,19871.51336,4929.210672,0.0000000326,0.0000001448311615,0.000000006715987433,0.00000003281225539,0.000000006715987433,0.00000003274524352,0.00000000537,0.00000001331
sk-2005,0.0001,0,0.0001,38762.80377,93733.79787,27639.98853,10301.75896,27672.63721,10846.62006,28974.04556,9718.711021,0.00000003253996314,0.0000005504340096,0.000000004637819123,0.00000003299236785,0.000000004637819123,0.00000003303431163,0.00000000341,0.00000002331
sk-2005,0.001,0,0.001,33540.08591,92872.38157,29276.79379,17631.83987,36892.02162,24518.35851,40445.6427,17377.81146,0.00000003223719736,0.00000510939299,0.000000008305110539,0.00000003875974013,0.000000008305110539,0.00000003713601109,0.0000000023,0.00000002171
sk-2005,0.01,0,0.01,37910.38069,93916.94496,34855.70716,28329.64647,103719.5235,97419.47507,56961.61375,27965.54195,0.00000003330752811,0.00004154707515,0.00000001635881676,0.00000007000998679,0.00000001634099666,0.0000000507245335,0.00000001101,0.00000004511
sk-2005,0.1,0,0.1,29894.68278,85213.71149,35735.82747,35310.64361,695789.0946,688254.1689,65232.32067,35173.10568,0.00000003031555006,0.0001191557999,0.00000001947934302,0.00000004814347853,0.00000001947934302,0.00000006412234427,0.00000001931,0.00000004971
