graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
it-2004,0.0000001,0,0.0000001,19142.60532,27358.63101,5130.229271,1038.835538,5673.02763,1548.64592,1625.554596,443.7470025,0.0000000689,0.0000003573996644,0.000000001991504878,0.0000000215965266,0.000000001989691118,0.00000002197391957,0.00000000206,0.00000000687
it-2004,0.000001,0,0.000001,18064.93061,26948.18248,7786.626647,1561.826816,9230.146255,2186.048251,4230.769324,1160.826197,0.0000000689,0.0000003670730748,0.000000004893241354,0.00000002718102017,0.000000004900264314,0.00000002708789522,0.00000000234,0.00000001531
it-2004,0.00001,0,0.00001,19745.07806,27245.2798,9827.875859,2596.133686,11681.57117,3220.610448,8629.393697,2379.310584,0.0000000689,0.0000003835030393,0.00000001279358114,0.00000005602029829,0.00000001280193205,0.00000005464420801,0.00000001431,0.00000002341
it-2004,0.0001,0,0.0001,17948.86665,26852.58868,12958.16695,5105.642771,15279.05097,5595.467761,15313.21846,4961.047869,0.00000006883989523,0.0000008019150929,0.000000006147185478,0.00000003517235408,0.000000006348553463,0.00000003525920852,0.00000000811,0.00000002621
it-2004,0.001,0,0.001,17589.65547,26394.33046,14425.0539,7008.516145,16783.67644,8579.249112,17853.66063,6847.172924,0.0000000685399825,0.000004755752604,0.00000002725525496,0.00000008542038441,0.00000002723929754,0.0000000800410674,0.00000003471,0.00000004461
it-2004,0.01,0,0.01,18147.227,25788.50907,14891.10234,9485.254953,28809.05155,21979.76434,22360.9232,9033.756807,0.00000008419808418,0.00004078121948,0.00000006054610093,0.0000001099701049,0.00000006052003717,0.00000009911064277,0.00000004651,0.00000003961
it-2004,0.1,0,0.1,17544.13207,23530.39603,16782.59453,10346.22366,165422.2995,156011.4673,24455.33114,10399.57862,0.00000009329796067,0.0002733849083,0.0000001355916789,0.0000001061481764,0.0000001356200632,0.0000001068423211,0.00000015401,0.00000009861
