graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
com-Orkut,0.0000001,0,0.0000001,6587.961929,19089.27268,1231.889925,1244.255223,1552.391394,1444.310405,2180.764761,1237.504611,0.00000372,0.00000448,0.000000005367367584,0.0000001983373033,0.000000005356049878,0.000000197916275,0.000000000496,0.00000014501
com-Orkut,0.000001,0,0.000001,6227.267019,18731.2914,3941.225514,1551.915402,4020.0139,1562.85126,6558.882616,1558.268944,0.00000372,0.00000448,0.000000001436694783,0.0000001728729828,0.000000001440093969,0.0000001730505091,0.00000000114,0.00000017101
com-Orkut,0.00001,0,0.00001,6296.988228,18251.023,5327.02075,2309.447162,5476.271498,2336.294743,9330.780455,2124.860469,0.00000372,0.00000448,0.000000006815882662,0.0000002882626049,0.000000006815882662,0.0000002877861479,0.00000000584,0.00000018401
com-Orkut,0.0001,0,0.0001,6920.647132,18827.05542,5387.92121,3223.433174,6560.522224,4387.650575,10997.54411,2992.750792,0.00000372,0.00000448,0.00000006018905565,0.000001329177691,0.00000006018905565,0.000001330333784,0.00000006771,0.00000177001
com-Orkut,0.001,0,0.001,6458.434094,18735.31833,5398.9488,5525.965654,19703.70192,19729.2857,12491.41723,5542.564478,0.00000372,0.00000448,0.0000006503325006,0.000001811841809,0.0000006503325006,0.000001811819315,0.00000064901,0.00000179001
com-Orkut,0.01,0,0.01,5944.621176,18467.77945,4787.456658,7818.192846,135355.8869,134377.9995,13235.09001,8110.922046,0.0000037,0.00000448,0.000006181775989,0.000001867942288,0.000006181775989,0.000001861931468,0.00000616001,0.00000186001
com-Orkut,0.1,0,0.1,6692.616208,17369.96213,5136.877954,9747.34323,1121349.996,1118146.533,14973.20819,11502.23653,0.00000359,0.000004731998311,0.00004684295489,0.00000175802948,0.00004684295489,0.000001884680637,0.00004830001,0.00000236001
