graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
webbase-2001,0.0000001,0,0.0000001,26489.12108,29536.11766,5173.141811,546.1757106,5582.191809,1197.662964,426.9946927,155.09324,0.000000056,0.0000655,0.000000003747854961,0.000000009146122095,0.000000003747854961,0.000000008158413793,0.00000000509,0.00000000559
webbase-2001,0.000001,0,0.000001,32323.7115,34776.12335,8092.439333,845.9890793,9629.947544,1410.087244,1596.497751,492.4962497,0.000000056,0.0000655,0.000000007698144083,0.00000001466235531,0.000000007708709737,0.00000001211409306,0.00000000673,0.00000000763
webbase-2001,0.00001,0,0.00001,40880.08441,38959.21145,12209.34045,1393.011205,13184.91413,1951.640862,4841.018557,1194.950637,0.000000056,0.0000655199878,0.00000002497746178,0.00000003916544964,0.00000002496666305,0.00000004046341949,0.00000001181,0.00000002291
webbase-2001,0.0001,0,0.0001,32805.86188,32678.35571,17159.41363,3317.383155,19464.01482,4048.785501,13257.83264,3250.127929,0.000000056,0.00006587995751,0.00000001363840089,0.00000006910452167,0.00000001364156379,0.00000006339128145,0.00000003331,0.00000008771
webbase-2001,0.001,0,0.001,31775.50093,33146.86356,18156.77632,6665.712954,19839.23772,7080.750757,20452.90371,6030.548786,0.0000000559799857,0.00006965975302,0.00000006514769986,0.0000001467211921,0.00000006514769986,0.0000001463686469,0.00000007231,0.00000011101
webbase-2001,0.01,0,0.01,32040.04126,34126.86856,18753.90937,9652.933604,19765.93296,10403.52607,26843.03424,9301.812786,0.00000005523994202,0.0001091974318,0.0000001783733139,0.0000001928038823,0.0000001783733139,0.0000001928038823,0.00000012001,0.00000016001
webbase-2001,0.1,0,0.1,24951.71358,31999.50407,21980.48488,13246.09858,27294.14544,16799.00961,41019.12217,12767.1783,0.00000006775995281,0.0004073957801,0.0000002137986914,0.0000002347919324,0.0000002137986914,0.0000002343917824,0.00000021301,0.00000023001
