graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
all,0.0000001,0,0.0000001,7404.692372,14750.43159,2125.004603,655.7866041,3211.506233,1451.953133,372.4283091,194.8368438,0.000001717185993,0.000004852712413,0.00000000203384819,0.00000003205646271,0.000000002034614047,0.0000000317216658,0.00000000138,0.0000000913
all,0.000001,0,0.000001,7424.500857,14781.23669,3533.956652,819.8078449,4189.531837,1310.170828,860.5753882,364.6207247,0.000001717185993,0.000004880728711,0.000000006554220376,0.00000005517506688,0.00000000655593792,0.0000000541217917,0.00000000274,0.0000001301
all,0.00001,0,0.00001,7436.478327,14828.29882,4354.635645,1107.752997,5089.704675,1625.133238,1563.709389,619.0716346,0.000001717185993,0.000005044064247,0.00000002131884714,0.0000001125198949,0.00000002132152829,0.0000001129453874,0.00000002358088956,0.00000009040558266
all,0.0001,0,0.0001,7336.834232,14410.53915,5458.650361,1637.642834,6280.477317,2390.096477,2945.703882,1152.980582,0.000001717054427,0.000006190431066,0.00000005086000536,0.0000002797054868,0.00000005098456224,0.0000002769407506,0.00000005833301017,0.0000002641846887
all,0.001,0,0.001,7134.335091,14465.96803,5722.347679,2638.401683,8076.007069,4386.644739,5353.326871,2276.989566,0.00000171978694,0.00001036668976,0.000000262615068,0.000000641337002,0.0000002625927306,0.0000006422140509,0.0000002685757486,0.0000006376761539
all,0.01,0,0.01,7422.245472,15249.74986,6143.340612,4493.942091,14459.65071,11013.20766,9131.541721,4303.183231,0.000001907860176,0.00002516846431,0.000001188425029,0.000001240336609,0.000001185217819,0.000001195487022,0.000001189797244,0.000001148863895
all,0.1,0,0.1,7191.00972,15304.0065,6852.672334,6473.842379,39906.76896,36863.17232,12317.32581,6439.246623,0.00000220368539,0.00006708613742,0.000003281954315,0.000001504968203,0.000003281824783,0.000001596185942,0.000003282005084,0.000001690583874
