graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,stap-t,nai-t,naip-t,tra-t,trap-t,fro-t,frop-t,sta-e,stap-e,nai-e,naip-e,tra-e,trap-e,fro-e,frop-e
all,0.00000002,0.00000008,0.0000001,7452.036312,13939.41423,1862.918097,758.1980119,3628.43376,2376.847727,380.111571,272.9074853,0.000001717185993,0.000004852921249,0.000000007178705727,0.00000003969420196,0.000000007202949332,0.00000003915078541,0.00000000121,0.0000001151
all,0.0000002,0.0000008,0.000001,7648.253232,14399.16787,2910.339751,993.4083009,3629.033575,1639.476492,770.2310863,465.2639648,0.000001717185993,0.000004854168611,0.0000000154688629,0.00000007083198724,0.00000001549820357,0.00000007085388875,0.0000000146,0.0000001311
all,0.000002,0.000008,0.00001,7600.037124,14442.90834,4300.337254,1463.849878,4696.66868,1973.461155,1575.475639,836.8127899,0.000001717732263,0.000004884643053,0.00000002168725475,0.0000001472444142,0.00000002168266141,0.00000014740831,0.00000002405898811,0.0000001251728694
all,0.00002,0.00008,0.0001,7688.530878,15068.72162,5321.215072,2251.459728,6171.001874,3053.756315,3335.095791,1802.297642,0.000001721062635,0.000005296474114,0.00000006231742793,0.0000003791575352,0.00000006207858931,0.0000003679289803,0.0000000665432095,0.0000003640142481
all,0.0002,0.0008,0.001,7689.276101,14949.87683,5914.566878,3638.332941,7652.241191,5039.054107,6609.043436,3334.364624,0.000001801931019,0.000007082744901,0.0000002580507456,0.0000008002159343,0.0000002586950342,0.0000007934217718,0.0000002602479435,0.0000007749684525
all,0.002,0.008,0.01,8372.686359,16523.46158,6985.669165,5912.265898,14603.96356,12645.78626,11215.39934,5905.426186,0.000002111487478,0.00001028882642,0.0000007826673201,0.000001692572637,0.0000007827671849,0.000001652239623,0.0000007830471592,0.000001654795803
all,0.02,0.08,0.1,13341.67742,23539.62568,11825.90729,12203.31025,48599.33953,42544.01623,20203.30456,12462.77008,0.000001505958971,0.000007238394769,0.0000009129163063,0.000002947238901,0.0000009113926621,0.000002986944315,0.0000009098036975,0.000002951524997
